49
Feature_ID,AvgMisorientations,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,Sphericity,SurfaceAreaVolumeRatio,SurfaceFeatures,Volumes,surface
11,39.573406,0.056368068,0.55694902,0.45785722,0.69064981,10.438272,5.4506173,3.9814816,0.88194579,2.5552771,5.5611863,8,1,0.03267511,148,0,81,0.74074072
12,31.190109,-0.2628274,0.23206477,-0.88307256,0.31185022,5.4222221,1.7777778,18.566668,0.50800705,0.71645975,1.9546427,6,1,0.05144592,94,1,90,0.54444444
13,38.88102,0.057950947,-0.46292588,-0.70092988,0.53947991,16.711111,17.533333,1.7888889,2.6101615,0.97074771,5.5026817,5,1,0.049346086,98,1,90,0.56666666
14,40.543404,-0.25407624,-0.38014114,-0.038521901,0.88851225,8.7637072,2.5887728,9.100522,1.0249413,0.94976288,5.3449006,14,1,0.014478792,334,1,383,0.43342036
15,44.331444,0.62040162,-0.15389188,0.7264275,0.25243255,2.0737705,2.2049181,2.9590163,1.6620966,1.3869237,2.1483855,4,1,0.056893136,85,1,122,0.43442622
16,37.76543,-0.86422801,-0.23697557,-0.3221153,0.30527747,7.7645502,11.494709,16.002645,1.0798564,2.2219379,0.54460263,12,1,0.018743863,258,1,189,0.62433863
17,35.827312,0.79502177,-0.37279901,-0.20446427,0.43261489,7.6946902,8.2522125,2.4911504,3.1446276,2.1437037,4.021574,12,1,0.03429728,141,1,113,0.68141592
18,45.280956,0.74826252,0.4239364,0.28946155,0.42022985,2.8012552,14.290795,17.495815,3.0538805,2.0705824,2.0229423,8,1,0.025999552,186,1,239,0.40585774
19,37.751972,-0.47538742,0.68559539,-0.024773246,0.5507741,16.117924,16.419811,13.698113,5.363616,1.9736753,1.0094665,8,1,0.021981439,220,1,212,0.5990566
20,34.820744,-0.4831382,-0.31830388,-0.79844522,0.16656932,15.005555,10.633333,14.644444,1.9476836,1.2339416,0.78257447,11,1,0.020149652,240,1,180,0.6722222
21,35.829823,0.17210114,-0.63972765,-0.10984504,0.74098843,7.7269502,16.968084,2.8049645,1.9807663,1.4482301,4.5967579,9,1,0.02861489,169,1,141,0.65248227
22,40.12344,0.3478899,-0.22113793,0.73760307,0.53480124,2.7205882,18.382353,1.8676471,1.6319145,0.8497895,2.7643638,3,1,0.083377868,58,1,68,0.55882353
23,38.449181,0.678868,0.41036162,-0.35044324,0.49792683,2.5057805,14.580925,11.16474,4.298574,1.8322829,3.2111609,10,1,0.023475323,206,1,173,0.56069362
24,40.8419,-0.85309899,0.48020732,-0.026017822,0.20235127,17.545454,6.568182,17.416666,5.8983698,2.7306736,0.64056724,9,1,0.036088929,134,1,132,0.55303031
25,41.078621,-0.30200189,-0.060236339,-0.34808323,0.88544029,12.151613,3.4290323,17.112904,0.57143348,0.62607634,0.17768703,10,1,0.023249598,208,1,155,0.60645163
26,35.934315,-0.6656267,-0.68806511,-0.023085797,0.28805307,12.945104,9.1439171,8.9243326,4.0261078,1.188275,1.0862455,19,1,0.011911124,406,0,337,0.58456975
27,38.128658,0.76693779,0.23525535,0.58542585,0.11720896,15.275343,17.212328,7.757534,2.0660298,1.8619705,1.4707607,12,1,0.016282547,297,1,365,0.4219178
28,48.590225,0.64307296,-0.70936924,-0.043732509,0.28520158,3.768116,18.47826,14.014493,2.459368,2.5561998,4.1281252,6,1,0.03267511,148,1,138,0.50724638
29,41.23061,0.56276357,0.56797272,0.31883875,0.50896561,9.9192305,16.188461,13.907692,3.3719602,1.8531238,1.7919501,12,1,0.017209668,281,1,260,0.56923079
30,43.74448,0.15489225,0.74211794,-0.18547019,0.6251961,12.015385,1.9076923,2.3692307,4.7950153,1.7208197,2.0649478,6,1,0.037199359,130,1,130,0.5
31,40.856899,-0.88177317,-0.25925329,0.34933269,0.1822924,16.176924,13.192307,18.080769,5.4793034,2.3315566,4.907392,10,1,0.023249598,208,1,260,0.44999999
32,27.207769,0.35347676,0.034782104,0.34321001,0.86951208,18.944445,18.333334,3.5833333,2.8637342,0.72622162,2.6675658,3,1,0.092998393,52,1,36,0.66666669
33,42.513252,-0.18577984,-0.12537369,0.59323984,0.77319711,17.10515,2.5,5.5300431,6.2223792,0.45209339,5.0350847,9,1,0.025318936,191,1,233,0.39914164
34,41.71624,0.038356155,0.39115119,0.85591841,0.33605528,2.4360001,8.7880001,14.676,3.4179783,0.80784297,0.47188008,8,1,0.030999465,156,1,125,0.62400001
35,32.934177,-0.29799253,-0.46459335,-0.072038613,0.83076108,19.119047,1.5952381,18.404762,1.0869845,1.1693969,5.3691959,3,1,0.17910802,27,1,21,0.61904764
36,37.398449,0.60246372,-0.39881226,0.14827383,0.67527854,2.1391752,6.0051546,18.335052,2.3407052,1.6148381,3.5101917,6,1,0.048359167,100,1,97,0.54639173
37,46.280613,0.52726114,0.22531809,-0.28960642,0.76639128,8.2313433,17.932837,18.291044,3.9067369,1.2212677,3.0990403,6,1,0.037780598,128,1,134,0.46268657
38,40.761036,-0.89855754,0.36565551,0.075164326,0.2307394,7.7986112,17.597221,7.7430553,5.5818,2.6513515,0.071557581,7,1,0.030224478,160,1,144,0.625
39,44.466408,0.74719703,-0.30392659,0.55964738,0.19005264,7.7644629,12.202479,2.7644627,1.5118538,1.876904,2.284487,8,1,0.030999465,156,1,121,0.71900827
40,30.027571,0.56875807,-0.40980384,0.58275539,0.41106111,2.472826,13.586957,3.0380435,1.5607525,1.5536454,2.8094885,8,1,0.030802015,157,1,184,0.48369566
41,39.677307,0.3947534,-0.31329572,-0.21075456,0.83761448,15.335681,5.1150236,11.730047,2.7172322,1.0563751,4.0589452,10,1,0.015855463,305,1,213,0.61032861
42,33.861698,0.091000244,0.75049365,-0.24920543,0.6052891,2.5,17.743055,7.1875,4.9822869,1.7143322,2.0820239,7,1,0.035042875,138,1,144,0.5138889
43,41.349972,0.32088917,-0.39215013,-0.84191805,0.18553306,9.3296947,5.9235806,15.482533,3.6104794,1.0627207,5.3804936,14,1,0.015352116,315,1,229,0.60262007
44,43.352432,-0.37971544,-0.6911146,-0.61489105,0.009262586,13.691257,13.669399,2.0519125,2.6241286,1.8169202,0.4873389,11,1,0.023249598,208,1,183,0.54098362
45,42.264538,0.53743696,-0.50353956,0.67205739,0.077125371,2.4927008,7.9452553,2.4343066,0.93220991,1.6556793,2.4379032,6,1,0.043177824,112,1,137,0.56934309
46,42.803562,-0.24567957,-0.63457561,0.54242706,0.4926745,15.549505,2.0049505,18.054455,0.3679848,1.4968182,4.2483473,6,1,0.039316393,123,1,101,0.54455447
47,36.119606,-0.078786992,0.15583827,0.40581295,0.89711916,10.934783,18.956522,1.9565217,4.7556744,0.35104439,0.6778962,4,1,0.076760583,63,1,46,0.60869563
48,32.403946,-0.6656267,-0.68806511,-0.023085797,0.28805307,8.3538208,12.39701,8.7392025,0.17003241,2.3209622,4.2225304,15,1,0.013584035,356,0,301,0.58139533
49,39.026283,0.33117127,-0.32123977,0.86993986,0.17417009,18.29394,11.269697,3.8151515,0.99821663,0.95909494,2.5385697,10,1,0.029668199,163,1,165,0.5151515
